id,mark_pose,x,y,yaw,description
1,500,0.9,2.08,0,WarePoint
2,501,0.9,2.66,0,WarePoint
3,502,0.9,3.24,0,WarePoint
4,503,0,10,0,WorkPoint
5,504,0,12.3,0,WorkPoint
6,505,0,14.6,0,WorkPoint
7,506,0,16.9,0,WorkPoint
8,507,0,22,0,WorkPoint
9,508,0,24.3,0,WorkPoint
10,509,0,26.6,0,WorkPoint
11,510,0,28.9,0,WorkPoint
12,511,0,34.5,0,WorkPoint
13,512,0,36.8,0,WorkPoint
14,513,0,39.1,0,WorkPoint
15,514,0,41.4,0,WorkPoint
16,515,20.2,14.6,0,WorkPoint
17,516,20.2,16.9,0,WorkPoint
18,517,20.2,22,0,WorkPoint
19,518,20.2,24.3,0,WorkPoint
20,519,20.2,26.6,0,WorkPoint
21,520,20.2,28.9,0,WorkPoint
22,521,20.2,34.5,0,WorkPoint
23,522,20.2,36.8,0,WorkPoint
24,523,20.2,39.1,0,WorkPoint
25,524,20.2,41.4,0,WorkPoint
26,525,39.5,-1.95,0,WorkPoint
27,526,39.5,0.35,0,WorkPoint
28,527,39.5,2.65,0,WorkPoint
29,528,39.5,4.95,0,WorkPoint
30,529,39.5,10,0,WorkPoint
31,530,39.5,12.3,0,WorkPoint
32,531,39.5,14.6,0,WorkPoint
33,532,39.5,16.9,0,WorkPoint
34,533,39.5,22,0,WorkPoint
35,534,39.5,24.3,0,WorkPoint
36,535,39.5,26.6,0,WorkPoint
37,536,39.5,28.9,0,WorkPoint
38,537,39.5,34.5,0,WorkPoint
39,538,39.5,36.8,0,WorkPoint
40,539,39.5,39.1,0,WorkPoint
41,540,39.5,41.4,0,WorkPoint
42,541,58.8,-1.95,0,WorkPoint
43,542,58.8,0.35,0,WorkPoint
44,543,58.8,2.65,0,WorkPoint
45,544,58.8,4.95,0,WorkPoint
46,545,58.8,10,0,WorkPoint
47,546,58.8,12.3,0,WorkPoint
48,547,58.8,14.6,0,WorkPoint
49,548,58.8,16.9,0,WorkPoint
50,549,58.8,22,0,WorkPoint
51,550,58.8,24.3,0,WorkPoint
52,551,58.8,26.6,0,WorkPoint
53,552,58.8,28.9,0,WorkPoint
54,553,58.8,34.5,0,WorkPoint
55,554,58.8,36.8,0,WorkPoint
56,555,58.8,39.1,0,WorkPoint
57,556,58.8,41.4,0,WorkPoint
58,557,49,-3.75,0,RoadPoint
59,558,49.8,-3.75,0,RoadPoint
60,559,50.6,-3.75,0,RoadPoint
61,560,51.4,-3.75,0,RoadPoint
62,561,52.2,-3.75,0,RoadPoint
63,562,0.9,0,0,RoadPoint
64,563,0.9,8.6,0,RoadPoint
65,564,0,8.6,0,RoadPoint
66,565,0,20.17,0,RoadPoint
67,566,0,32.6,0,RoadPoint
68,567,0,42.6,0,RoadPoint
69,568,1.6,0,0,RoadPoint
70,569,1.6,8.6,0,RoadPoint
71,570,1.2,8.6,0,RoadPoint
72,571,1.2,20.17,0,RoadPoint
73,572,1.2,32.6,0,RoadPoint
74,573,1.2,42.6,0,RoadPoint
75,574,20.2,-3.75,0,RoadPoint
76,575,20.2,8.25,0,RoadPoint
77,576,20.2,20.17,0,RoadPoint
78,577,20.2,32.6,0,RoadPoint
79,578,39.5,-3.75,0,RoadPoint
80,579,39.5,8.25,0,RoadPoint
81,580,39.5,20.17,0,RoadPoint
82,581,39.5,32.6,0,RoadPoint
83,582,58.8,-3.75,0,RoadPoint
84,583,58.8,8.25,0,RoadPoint
85,584,58.8,20.17,0,RoadPoint
86,585,58.8,32.6,0,RoadPoint
87,586,49,-4.85,0,WaitPoint
88,587,49.8,-4.85,0,WaitPoint
89,588,50.6,-4.85,0,WaitPoint
90,589,51.4,-4.85,0,WaitPoint
120,590,52.2,-4.85,0,ChargePoint
92,591,0.9,1.5,0,RoadPoint
